Local,Descricao
2513.0,Av. Francisco De Paula Quintanilha Ribeiro (Centro/Bairro - Bairro/Centro) n° 280 - oposto ao n° 280
2515.0,Av. Giovanni Gronchi (Centro/Bairro - Bairro/Centro) A menos 47 m R. Antônio Júlio Dos Santos - menos 20 m R. Pasquale Gualupp
2516.0,Av. Giovanni Gronchi (Centro/Bairro - Bairro/Centro) A menos 47 m R. Antônio Júlio Dos Santos - menos 20 m R. Pasquale Gualupp
2517.0,Av. Drº. Guilherme Dumont Villares (Giovanni/Morato) n° 1.093
2518.0,R. Mal. Hastinfilo de Moura (Morato/Giovanni - Giovanni/Morato) n° 233 - oposto ao n° 233
2519.0,R. Mal. Hastinfilo de Moura (Morato/Giovanni - Giovanni/Morato) n° 233 - oposto ao n° 233
2520.0,Av. Eng°. Heitor Antônio Eiras Garcia (Raposo/Butantã - Butantã/Raposo) n° 1.927 - oposto ao n° 1.927
2521.0,Av. Eng°. Heitor Antônio Eiras Garcia (Raposo/Butantã - Butantã/Raposo) n° 1.927 - oposto ao n° 1.927
2522.0,R. Henrique Sam Mindlin (Itapecerica/M'Boi - M'Boi/Itapecerica) n° 407 - n° 408
2523.0,R. Henrique Sam Mindlin (Itapecerica/M'Boi - M'Boi/Itapecerica) n° 407 - n° 408
2524.0,Av. Interlagos (Bairro/Centro - Centro/Bairro) n° 7.229 - n° 7.250
2525.0,Av. Interlagos (Bairro/Centro - Centro/Bairro) n° 7.229 - n° 7.250
2526.0,R. José Ramon Urtiza (Giovanni/Marg. Pinheiros - Marg. Pinheiros/Giovanni) n° 660 - n° 901
2527.0,R. José Ramon Urtiza (Giovanni/Marg. Pinheiros - Marg. Pinheiros/Giovanni) n° 660 - n° 901
2528.0,Estr. Do M'Boi Mirim (Centro/Bairro - Bairro/Centro) n° 6.880 - oposto ao n° 6.880
2529.0,Estr. Do M'Boi Mirim (Centro/Bairro - Bairro/Centro) n° 6.880 - oposto ao n° 6.880
2530.0,R. Olívia Guedes Penteado (Bairro/Centro - Centro/Bairro) n° 573 - oposto ao n° 573
2531.0,R. Olívia Guedes Penteado (Bairro/Centro - Centro/Bairro) n° 573 - oposto ao n° 573
2532.0,Pça. Prof°. Meira De Vasconcellos (Bairro/Centro) A menos 29 m Av. Amarilis
2533.0,Av. Pres. Altino (Rio Pequeno/Jaguaré - Jaguaré/Rio Pequeno) n° 1.138 - n° 1.141
2534.0,Av. Pres. Altino (Rio Pequeno/Jaguaré - Jaguaré/Rio Pequeno) n° 1.138 - n° 1.141
2535.0,Av. do Rio Bonito (Interlagos/Guarapiranga - Guarapiranga/Interlagos) n° 2.345 - oposto n° 2.345
2536.0,Av. do Rio Bonito (Interlagos/Guarapiranga - Guarapiranga/Interlagos) n° 2.345 - oposto n° 2.345
2537.0,Av. Sadamu Inoue (Bairro/Centro - Centro/Bairro) n° 6.291 - oposto ao n° 6.291
2538.0,Av. Sadamu Inoue (Bairro/Centro - Centro/Bairro) n° 6.291 - oposto ao n° 6.291
2539.0,"Túnel Sebastião Camargo (Morumbi/Ibirapuera) a menos 26,5m do Desemboque"
2540.0,"Av. Giovanni Gronchi (Bairro/Centro) a menos 7,0m. do nº 1.065"
2541.0,Av. Morumbi (Ponte Morumbi / Fco. Morato) a menos 16m. R. Padre Lebret
2542.0,Av. Morumbi (Francisco Morato/ Ponte Morumbi) nº 4.884
2543.0,Av. Nsª. Srª. do Sabará (Bairro/Centro) nº 4.071
2544.0,"Av. Nsª. Srª. do Sabará (Centro/Bairro) a mais 143,5m da R. Tabaré"
2545.0,"Av. Nsª. Srª. do Sabará (Centro/Bairro) a mais 143,5m da R. Tabaré"
2546.0,Av. Cupece (Diadema/Marginal) a menos 14m. R. Anália Maria de Jesus
2547.0,Av. Cupece (Diadema/Marginal) a menos 14m. R. Anália Maria de Jesus
2548.0,Av. Cupece (Diadema/Marginal) a mais 26m. R. José Virgínio Simões
2549.0,Av. Cupece (Diadema/Marginal) a mais 26m. R. José Virgínio Simões
2550.0,Av. Atlântica (Bairro/Centro) a menos 18m. R. Nicolau Magnoli
2551.0,Av. Atlântica (Bairro/Centro) a menos 18m. R. Nicolau Magnoli
2552.0,Av. Corifeu de Azevedo Marques (Bairro/Centro) a mais 190m. da R. Amorim Castro
2553.0,Av. Corifeu de Azevedo Marques (Bairro/Centro) a mais 190m. da R. Amorim Castro
2554.0,Av. Corifeu de Azevedo Marques (Centro/Bairro) a mais 92m. da R. Profº. Gabriel S. T. de Carvalho
2555.0,Av. Corifeu de Azevedo Marques (Centro/Bairro) a mais 92m. da R. Profº. Gabriel S. T. de Carvalho
2556.0,Av. Sen. Teotonio Vilela (Bairro/Centro) nº 5.351
2557.0,Av. Sen. Teotonio Vilela (Bairro/Centro) nº 5.351
2558.0,Av. Sen. Teotonio Vilela (Centro/Bairro) a menos 10m. da R. Balneário São José
