,Data,Hora,Local,Faixa,EspecieVeiculo,ClasseVeiculo,Comprimento(m),VelocidadePontual,Descricao,Latitude,Longitude
38,20180508,235823,4326,2,1.0,0.0,3.8,119.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
39,20180508,235824,4326,4,1.0,0.0,3.3,133.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
40,20180508,235826,4326,1,1.0,0.0,3.9,144.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
41,20180508,235826,4326,2,1.0,0.0,4.0,128.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
42,20180508,235907,4326,4,1.0,0.0,0.0,0.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
43,20180508,235909,4326,1,1.0,0.0,3.5,58.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
44,20180508,235909,4326,2,1.0,0.0,3.8,53.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
45,20180508,235910,4326,3,1.0,0.0,3.3,53.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
46,20180508,235910,4326,5,1.0,0.0,0.0,0.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
47,20180508,235911,4326,2,1.0,0.0,3.4,56.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
48,20180508,235912,4326,4,1.0,0.0,3.7,53.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
49,20180508,235913,4326,3,1.0,0.0,3.3,53.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
50,20180508,235916,4326,1,1.0,0.0,3.5,106.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
51,20180508,235916,4326,3,1.0,0.0,3.7,86.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
